gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,speed,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,203115,Will,Barton,W. Barton,will-barton,F,,5,43:23,4.27,3.07,2,14,16,70,0,0,49,5,3,7,0.429,5,9,0.556,0.5,4,4,1.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,201163,Wilson,Chandler,W. Chandler,wilson-chandler,F,,21,25:41,3.97,1.69,2,4,6,29,1,0,22,0,3,3,1.0,1,2,0.5,0.8,0,1,0.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,203486,Mason,Plumlee,M. Plumlee,mason-plumlee,C,,24,17:49,4.11,1.22,4,5,9,33,0,0,28,2,2,3,0.667,1,1,1.0,0.75,2,2,1.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,203914,Gary,Harris,G. Harris,gary-harris,G,,14,23:57,3.99,1.58,0,6,6,35,1,0,20,1,2,3,0.667,3,8,0.375,0.455,0,0,0.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1627750,Jamal,Murray,J. Murray,jamal-murray,G,,27,16:38,4.65,1.29,4,4,8,38,0,0,31,3,1,4,0.25,0,2,0.0,0.167,0,0,0.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1627736,Malik,Beasley,M. Beasley,malik-beasley,,,25,28:40,4.34,2.06,1,4,5,30,0,0,20,3,1,2,0.5,4,7,0.571,0.556,1,1,1.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1626144,Emmanuel,Mudiay,E. Mudiay,emmanuel-mudiay,,,0,31:22,4.41,2.29,5,6,9,67,0,0,49,5,5,9,0.556,3,7,0.429,0.5,2,3,0.667
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,202702,Kenneth,Faried,K. Faried,kenneth-faried,,,35,30:11,4.17,2.08,7,14,21,50,0,0,35,0,3,4,0.75,5,6,0.833,0.8,3,7,0.429
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1626168,Trey,Lyles,T. Lyles,trey-lyles,,,7,22:19,4.35,1.61,2,6,8,38,0,0,27,2,0,3,0.0,0,5,0.0,0.0,0,3,0.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,201589,Darrell,Arthur,D. Arthur,darrell-arthur,,DNP - Coach's Decision,00,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,1627823,Juancho,Hernangomez,J. Hernangomez,juancho-hernangomez,,DNP - Coach's Decision,41,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700370,1610612743,Denver,Nuggets,DEN,nuggets,2210,Richard,Jefferson,R. Jefferson,richard-jefferson,,DNP - Coach's Decision,22,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700370,1610612753,Orlando,Magic,ORL,magic,203613,Jonathon,Simmons,J. Simmons,jonathon-simmons,F,,17,33:39,4.21,2.35,2,5,7,50,0,0,28,0,7,12,0.583,2,5,0.4,0.529,1,1,1.0
0021700370,1610612753,Orlando,Magic,ORL,magic,203932,Aaron,Gordon,A. Gordon,aaron-gordon,F,,00,28:33,4.59,2.18,5,2,7,54,0,1,34,2,2,4,0.5,3,8,0.375,0.416,4,5,0.8
0021700370,1610612753,Orlando,Magic,ORL,magic,202696,Nikola,Vucevic,N. Vucevic,nikola-vucevic,C,,9,32:16,3.84,2.06,6,17,23,79,1,1,56,2,6,7,0.857,4,12,0.333,0.526,8,12,0.667
0021700370,1610612753,Orlando,Magic,ORL,magic,201167,Arron,Afflalo,A. Afflalo,arron-afflalo,G,,4,26:08,4.19,1.82,4,3,7,28,0,0,22,0,0,1,0.0,2,4,0.5,0.4,2,2,1.0
0021700370,1610612753,Orlando,Magic,ORL,magic,203901,Elfrid,Payton,E. Payton,elfrid-payton,G,,2,31:01,4.66,2.4,0,0,0,73,0,1,58,6,1,5,0.2,2,5,0.4,0.299,2,4,0.5
0021700370,1610612753,Orlando,Magic,ORL,magic,201571,D.J.,Augustin,D. Augustin,dj-augustin,,,14,24:51,4.22,1.73,1,4,5,50,0,0,38,2,0,1,0.0,1,5,0.2,0.167,0,1,0.0
0021700370,1610612753,Orlando,Magic,ORL,magic,1628411,Wes,Iwundu,W. Iwundu,wes-iwundu,,,25,16:21,4.59,1.24,0,3,3,20,0,0,16,0,0,1,0.0,1,2,0.5,0.333,2,2,1.0
0021700370,1610612753,Orlando,Magic,ORL,magic,202687,Bismack,Biyombo,B. Biyombo,bismack-biyombo,,,11,12:39,4.22,0.88,4,8,12,23,0,0,19,1,1,3,0.333,0,0,0.0,0.333,0,1,0.0
0021700370,1610612753,Orlando,Magic,ORL,magic,201578,Marreese,Speights,M. Speights,marreese-speights,,,5,12:06,3.54,0.71,1,3,4,17,0,0,9,2,0,2,0.0,0,3,0.0,0.0,1,1,1.0
0021700370,1610612753,Orlando,Magic,ORL,magic,202714,Shelvin,Mack,S. Mack,shelvin-mack,,,7,12:00,4.37,0.86,0,5,5,18,0,0,14,2,0,1,0.0,0,0,0.0,0.0,2,3,0.667
0021700370,1610612753,Orlando,Magic,ORL,magic,1626209,Mario,Hezonja,M. Hezonja,mario-hezonja,,,8,10:26,4.12,0.71,0,3,3,11,0,0,9,1,0,1,0.0,1,1,1.0,0.5,0,0,0.0
0021700370,1610612753,Orlando,Magic,ORL,magic,203095,Evan,Fournier,E. Fournier,evan-fournier,,DND - Injury/Illness,10,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,202699,Tobias,Harris,T. Harris,tobias-harris,F,,34,35:52,4.33,2.58,1,12,13,85,1,0,67,2,4,7,0.571,2,6,0.333,0.462,6,7,0.857
0021700558,1610612765,Detroit,Pistons,DET,pistons,202340,Avery,Bradley,A. Bradley,avery-bradley,F,,22,37:52,4.6,2.81,2,5,7,55,0,0,35,4,3,10,0.3,3,9,0.333,0.316,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,1626246,Boban,Marjanovic,B. Marjanovic,boban-marjanovic,C,,51,21:58,4.27,1.56,5,8,13,29,0,0,19,3,5,8,0.625,0,0,0.0,0.625,3,4,0.75
0021700558,1610612765,Detroit,Pistons,DET,pistons,203493,Reggie,Bullock Jr.,R. Bullock Jr.,reggie-bullock-jr,G,,25,34:36,4.39,2.53,0,0,0,29,0,0,19,1,1,2,0.5,5,8,0.625,0.599,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,202397,Ish,Smith,I. Smith,ish-smith,G,,14,30:38,4.78,2.43,3,6,9,68,1,0,56,4,2,5,0.4,1,5,0.2,0.299,2,3,0.667
0021700558,1610612765,Detroit,Pistons,DET,pistons,1628379,Luke,Kennard,L. Kennard,luke-kennard,,,5,23:32,4.55,1.86,2,1,3,21,0,0,14,2,5,6,0.833,1,1,1.0,0.856,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,203961,Eric,Moreland,E. Moreland,eric-moreland,,,24,17:49,4.44,1.31,3,7,10,20,0,0,15,0,0,1,0.0,0,1,0.0,0.0,3,5,0.6
0021700558,1610612765,Detroit,Pistons,DET,pistons,202779,Dwight,Buycks,D. Buycks,dwight-buycks,,,20,17:22,4.33,1.25,3,4,7,44,0,0,27,4,3,6,0.5,4,6,0.667,0.582,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,201229,Anthony,Tolliver,A. Tolliver,anthony-tolliver,,,43,20:21,4.31,1.46,5,4,9,36,0,0,29,1,1,2,0.5,1,3,0.333,0.4,3,4,0.75
0021700558,1610612765,Detroit,Pistons,DET,pistons,203083,Andre,Drummond,A. Drummond,andre-drummond,,DND - Injury/Illness,0,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,1627740,Henry,Ellenson,H. Ellenson,henry-ellenson,,DNP - Coach's Decision,8,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,204038,Langston,Galloway,L. Galloway,langston-galloway,,DNP - Coach's Decision,9,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612765,Detroit,Pistons,DET,pistons,1626242,Luis,Montero,L. Montero,luis-montero,,DNP - Coach's Decision,44,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1626196,Josh,Richardson,J. Richardson,josh-richardson,F,,0,37:51,4.17,2.63,0,0,0,63,0,0,44,5,4,6,0.667,3,6,0.5,0.582,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,203482,Kelly,Olynyk,K. Olynyk,kelly-olynyk,F,,9,35:47,4.28,2.54,8,16,23,89,0,0,72,3,7,8,0.875,4,7,0.571,0.732,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,202355,Hassan,Whiteside,H. Whiteside,hassan-whiteside,C,,21,17:04,4.08,1.16,1,7,8,20,0,0,10,2,3,3,1.0,2,5,0.4,0.625,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,204020,Tyler,Johnson,T. Johnson,tyler-johnson,G,,8,33:02,4.63,2.54,0,6,6,40,2,0,33,3,1,1,1.0,0,4,0.0,0.2,2,2,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,201609,Goran,Dragic,G. Dragic,goran-dragic,G,,7,36:41,4.39,2.68,3,7,10,100,1,0,68,13,3,8,0.375,6,11,0.545,0.473,1,2,0.5
0021700558,1610612748,Miami,Heat,MIA,heat,201961,Wayne,Ellington,W. Ellington,wayne-ellington,,,2,34:23,4.34,2.48,0,9,9,41,0,0,27,1,1,3,0.333,3,9,0.333,0.333,1,1,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,201949,James,Johnson,J. Johnson,james-johnson,,,16,23:43,4.4,1.73,3,5,8,42,0,0,32,1,3,4,0.75,3,4,0.75,0.75,1,1,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,1628476,Derrick,Walton Jr.,D. Walton Jr.,derrick-walton-jr,,,14,5:30,4.87,0.45,0,2,2,9,0,0,9,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1628389,Bam,Adebayo,B. Adebayo,bam-adebayo,,,13,10:14,4.21,0.72,1,3,4,14,0,0,9,1,0,2,0.0,0,2,0.0,0.0,0,2,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1626175,Jordan,Mickey,J. Mickey,jordan-mickey,,,25,5:45,4.15,0.4,0,0,0,8,0,0,7,0,0,0,0.0,0,1,0.0,0.0,1,1,1.0
0021700558,1610612748,Miami,Heat,MIA,heat,2617,Udonis,Haslem,U. Haslem,udonis-haslem,,DNP - Coach's Decision,40,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1627884,Derrick,Jones Jr.,D. Jones Jr.,derrick-jones-jr,,DNP - Coach's Decision,5,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
0021700558,1610612748,Miami,Heat,MIA,heat,1626159,Justise,Winslow,J. Winslow,justise-winslow,,DNP - Injury/Illness,20,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0
